Time,BTotal,Np,Vp,Tp,Beta,Entropy,Total_Pressure
2011-01-19 02:43:13,5.562143,6.29,328.0,68700.0,1.5527449,1.0517851,31.424051
2011-01-19 02:44:13,5.408021,6.4,326.0,82000.0,1.7883829,1.2999033,32.448856
2011-01-19 02:45:13,5.530761,8.01,329.0,143000.0,2.782985,1.9096985,46.04408
2011-01-19 02:46:13,5.621741,6.01,329.0,85700.0,1.5824617,1.4289769,32.47476
2011-01-19 02:47:13,5.760201,6.2,330.0,135000.0,1.9257607,2.0794852,38.62638
2011-01-19 02:48:13,6.0594196,6.9,329.0,112000.0,1.762766,1.6923493,40.36234
2011-01-19 02:49:13,6.370821,6.21,327.0,84500.0,1.2658229,1.3750888,36.592113
2011-01-19 02:50:13,6.806497,4.77,331.0,109000.0,0.953348,2.020798,36.007915
2011-01-19 02:51:13,7.007362,5.29,330.0,102000.0,0.9671773,1.8177633,38.434708
2011-01-19 02:52:13,6.8525085,3.55,329.0,50100.0,0.52077985,1.1502063,28.414341
2011-01-19 02:53:13,6.871121,3.4,330.0,52600.0,0.50332344,1.2664211,28.240976
2011-01-19 02:54:13,6.950708,4.25,333.0,51800.0,0.6119962,1.0202886,30.988028
2011-01-19 02:55:13,7.0305653,3.07,330.0,47700.0,0.42184138,1.2218419,27.9643
2011-01-19 02:56:13,6.8960466,5.74,328.0,66100.0,0.9091861,1.0854163,36.126003
2011-01-19 02:57:13,6.5536103,5.65,327.0,64400.0,0.98189527,1.0621372,33.869835
2011-01-19 02:58:13,6.4179883,5.52,326.0,59700.0,0.97492164,0.9717425,32.368225
2011-01-19 02:59:13,6.4311686,5.61,325.0,64200.0,1.0113288,1.0645765,33.100456
2011-01-19 03:00:13,6.382798,5.54,328.0,63700.0,1.0111672,1.0654047,32.601795
2011-01-19 03:01:13,6.3456798,6.94,328.0,108000.0,1.5888815,1.6320174,41.48
2011-01-19 03:02:13,6.3412824,5.8,319.0,103000.0,1.3006971,1.7403579,36.811558
2011-01-19 03:03:13,6.387381,5.1,319.0,74800.0,0.9853741,1.3891087,32.22991
2011-01-19 03:04:13,6.5901823,4.69,322.0,67800.0,0.82081777,1.325533,31.465363
2011-01-19 03:05:13,6.8051443,4.83,324.0,81500.0,0.85027397,1.5721804,34.09432
2011-01-19 03:06:13,6.902051,4.41,326.0,76700.0,0.73680425,1.5721003,32.921432
2011-01-19 03:07:13,7.0031714,4.94,329.0,49100.0,0.68979055,0.7895456,32.975704
2011-01-19 03:08:13,7.1317873,4.91,326.0,59600.0,0.70189613,1.0863317,34.44304
2011-01-19 03:09:13,7.126031,3.67,325.0,66100.0,0.5443923,1.5326838,31.205055
2011-01-19 03:10:13,7.097305,3.73,321.0,64800.0,0.55390555,1.4866725,31.14465
2011-01-19 03:11:13,7.148506,3.79,322.0,67800.0,0.5637381,1.5385996,31.79556
2011-01-19 03:12:13,7.178386,3.63,322.0,66600.0,0.5320508,1.5549465,31.412231
2011-01-19 03:13:13,7.1955914,4.29,325.0,53000.0,0.5804263,1.0452735,32.559605
2011-01-19 03:14:13,7.1491923,5.05,339.0,53900.0,0.6957293,0.9074298,34.485947
2011-01-19 03:15:13,7.0444674,4.18,324.0,80800.0,0.6843256,1.7037766,33.257835
2011-01-19 03:16:13,6.985122,4.25,320.0,69500.0,0.66803926,1.4611936,32.38366
2011-01-19 03:17:13,7.028233,3.2,326.0,63100.0,0.48015368,1.6000527,29.091843
2011-01-19 03:18:13,7.0559525,2.72,318.0,33000.0,0.3387373,0.79025185,26.520351
2011-01-19 03:19:13,7.024846,4.27,329.0,47200.0,0.58594483,0.87609935,31.141077
2011-01-19 03:20:13,7.0380116,4.03,323.0,36600.0,0.51623064,0.55242836,29.883905
2011-01-19 03:21:13,6.9925537,5.5,328.0,60800.0,0.8232936,1.002759,35.473145
2011-01-19 03:22:13,6.7975965,5.71,323.0,58800.0,0.8945112,0.91511613,34.832066
2011-01-19 03:23:13,6.695582,5.12,326.0,48900.0,0.78120005,0.747634,31.773197
2011-01-19 03:24:13,6.748656,5.44,325.0,66200.0,0.9001972,1.141364,34.43535
2011-01-19 03:25:13,6.7880654,4.12,321.0,56900.0,0.64040214,1.1922122,30.075588
2011-01-19 03:26:13,6.8381023,3.62,321.0,53100.0,0.5426373,1.2179137,28.70166
2011-01-19 03:27:13,6.913209,4.62,326.0,67100.0,0.7320462,1.3250037,32.93748
2011-01-19 03:28:13,7.0269804,3.34,321.0,69200.0,0.51794744,1.6956528,29.824022
2011-01-19 03:29:13,7.265746,3.03,318.0,93200.0,0.4949474,2.2396812,31.402075
2011-01-19 03:30:13,7.4192333,2.36,321.0,44600.0,0.28584602,1.3840616,28.163055
2011-01-19 03:31:13,7.3915153,2.83,322.0,45300.0,0.3468081,1.2258062,29.278257
2011-01-19 03:32:13,7.360102,2.63,324.0,45000.0,0.32446945,1.2891322,28.548431
2011-01-19 03:33:13,7.2952433,2.98,321.0,44900.0,0.3739907,1.1608558,29.096169
2011-01-19 03:34:13,7.1967673,3.48,322.0,52500.0,0.46932918,1.2403098,30.280722
2011-01-19 03:35:13,7.134971,4.21,322.0,55000.0,0.5859801,1.1196595,32.12581
2011-01-19 03:36:13,7.151653,3.52,318.0,50200.0,0.4743605,1.1616839,30.00466
2011-01-19 03:37:13,7.1270823,4.53,321.0,60000.0,0.6498654,1.1769173,33.346004
2011-01-19 03:38:13,7.0607233,3.1,320.0,33900.0,0.38779202,0.69984275,27.529305
2011-01-19 03:39:13,7.010605,4.75,327.0,54500.0,0.6828614,0.9852788,32.910236
2011-01-19 03:40:13,6.9600453,4.71,324.0,51200.0,0.674069,0.9000437,32.267788
2011-01-19 03:41:13,7.052886,4.57,324.0,53600.0,0.6458028,0.9989328,32.574917
2011-01-19 03:42:13,7.2222157,4.21,327.0,55000.0,0.5719083,1.1196595,32.624214
2011-01-19 03:43:13,7.3930893,3.91,326.0,44700.0,0.4772272,0.88254523,32.12709
2011-01-19 03:44:13,7.4600587,3.52,326.0,47900.0,0.43009454,1.0913346,31.668066
2011-01-19 03:45:13,7.461738,3.73,324.0,44400.0,0.44611037,0.9195733,32.03714
2011-01-19 03:46:13,7.5517154,3.34,329.0,41000.0,0.38198838,0.91050965,31.359423
2011-01-19 03:47:13,7.4760118,4.79,324.0,53600.0,0.6024389,0.95191556,35.636356
2011-01-19 03:48:13,7.2714343,4.96,321.0,57500.0,0.6741415,1.0223941,35.22119
2011-01-19 03:49:13,7.227875,4.42,320.0,47100.0,0.57259196,0.83839214,32.689575
2011-01-19 03:50:13,7.2261233,4.82,321.0,47600.0,0.6265708,0.76759756,33.795242
2011-01-19 03:51:13,7.0697546,5.52,321.0,51700.0,0.7678863,0.7559312,35.15884
2011-01-19 03:52:13,6.9891076,4.71,320.0,45500.0,0.646352,0.723003,31.999115
